Designator,Package,Quantity,Designation,Supplier,Ref,Notes
"FB4,FB5,FB6,FB7,FB8,FB1,FB2,FB3,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB19",L_0805_2012Metric,19,FB,Mouser,710-742792066,Wurth 742792066 600Ohm@100MHz 0805 ferrite bead 6A; was Farnell 1800367 - verify impedance suits your supply rail
J2,PinSocket_1x20_P2.54mm_Vertical,1,HL2,,,Standard 2.54mm 20-pin female header - any compatible (e.g. Mouser 517-929974-01-20-RK)
"R4,R11",R_0805_2012Metric,2,47k,Mouser,71-CRCW080547K0JNEAC,
"R7,R6,R9,R8,R25,R27,R28,R30",R_2512_6332Metric,8,100,Mouser,279-CRGP2512F100R,
"J6","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,50VDC,Mouser,651-1984617,Phoenix Contact PT-1.5/2-5.0-H 2-pin 5mm pitch
R29,R_0805_2012Metric,1,2k,Mouser,71-CRCW08052K00FKEAC,
T3,SignalCommunications-WE-DCT,1,744851330,Mouser,710-744851330,
L14,SignalCommunications-WE-PF_7427929XXX,1,7427929112,Mouser,710-7427929112,
"L1,L7",T50_V_THT,2,224n,,,Self-wound on T50 iron-powder core; wind to inductance specification
"L2,L8",T50_V_THT,2,385n,,,Self-wound on T50 iron-powder core; wind to inductance specification
"L4,L10",T50_V_THT,2,1.1u,,,Self-wound on T50 iron-powder core; wind to inductance specification
"L5,L11",T50_V_THT,2,1.7u,,,Self-wound on T50 iron-powder core; wind to inductance specification
"L6,L12",T50_V_THT,2,3.1u,,,Self-wound on T50 iron-powder core; wind to inductance specification
"C6,C31",C_1206_3216Metric,2,89p,Mouser,603-CC126JRNPOBBN890,Vishay 89pF NP0 1206; NOTE: 89pF is non-standard E24 value - if unavailable substitute 91pF (603-CC126JRNPOBBN910)
"C7,C19,C32",C_1206_3216Metric,3,180p,Mouser,81-GRM31A5C3A181JW1D,
"C8,C33",C_1206_3216Metric,2,270p,Mouser,81-GRM31A5C2H271GW1D,
"C9,C10,C34,C35",C_1206_3216Metric,4,560p,Mouser,603-CC126JRNPOBBN561,
"C11,C23,C36",C_1206_3216Metric,3,1200p,Mouser,810-C3216C0G2J122J,
"C12,C25",C_1206_3216Metric,2,39p,Mouser,603-CC126JRNPOBBN390,
"C13,C26",C_1206_3216Metric,2,56p,Mouser,603-CC126JKNPOCBN560,
"C14,C27",C_1206_3216Metric,2,100p,Mouser,791-1206N101J102CT,
"C15,C28",C_1206_3216Metric,2,150p,Mouser,603-CC126JRNPOBBN151,
"C16,C29",C_1206_3216Metric,2,220p,Mouser,603-CC206JRNPOBBN221,VERIFY: CC206 code in these Vishay parts - confirm in-stock and fits 1206 pads before ordering
"C17,C30",C_1206_3216Metric,2,470p,Mouser,603-CC206JRNPOBBN471,VERIFY: CC206 code in these Vishay parts - confirm in-stock and fits 1206 pads before ordering
C20,C_1206_3216Metric,1,330p,Mouser,603-CC126JRNPOBBN331,
C21,C_1206_3216Metric,1,470p,Mouser,603-CC206JRNPOBBN471,VERIFY: CC206 code - confirm in-stock and fits 1206 pads before ordering
C22,C_1206_3216Metric,1,1000p,Mouser,791-SH31N102K631CT,
C24,C_1206_3216Metric,1,2200p,Mouser,810-C3216C0G2J222J,
C66,C_0805_2012Metric,1,220p,Mouser,603-CC805JRNPOBBN221,
C67,CP_Radial_D10.0mm_P5.00mm,1,330u/63V,Mouser,667-ECA-1JM331B,
"C69,C77",C_0805_2012Metric,2,1500p,Mouser,81-GCM21A5C2E152JX1D,
C72,C_0805_2012Metric,1,1000p,Mouser,80-C0805C102J2GECAUT,
C74,C_0805_2012Metric,1,680p,Mouser,80-C0805X681J5G7800,
C86,C_1206_3216Metric,1,33p,Mouser,603-CC126JRNPOBBN330,Vishay 33pF NP0 1206; previously no supplier listed
"D1,D2",D_SOD-123,2,1N5711,Mouser,771-1N5711W-135,Nexperia 1N5711W SOD-123 Schottky; was Farnell 1858640
D3,D_SOD-123,1,1N4148,Mouser,771-1N4148W-F,Nexperia 1N4148W SOD-123; was Farnell 1776392
D4,D_SOD-123,1,PDZ5.1BGWJ,Mouser,771-PDZ5.1BGWJ,
J5,PhonoRcaRCJ-04x,1,RCJ-041,Mouser,490-RCJ-041,CUI Devices RCJ-041 phono jack
L13,L_0805_2012Metric,1,47n,Mouser,81-LQW2BAHN47J00D,Murata 47nH 0805 wirewound; was Farnell 1748810
"L15,L16",L_1812_4532Metric,2,1.8u,Mouser,994-1812LS-182XJBC,Coilcraft 1812LS 1.8uH 1812 SMD shielded; was Farnell 2345144 - verify body dimensions fit 1812 pads
Q1,TO-220-3_Vertical,1,MRF101AN,Mouser,771-MRF101AN,NXP MRF101AN TO-220
Q2,SOT-23,1,2N7002,Mouser,512-2N7002,ON Semi 2N7002 SOT-23; was Farnell 9845313
"R1,R15",R_0805_2012Metric,2,100,Mouser,71-CRCW0805100RFKEAC,
"R2,R13",R_0805_2012Metric,2,0,Mouser,71-CRCW08050000Z0EA,Zero-ohm link 0805
"R3,R12",R_0805_2012Metric,2,DNI,,,Do not install
"R5,R10,R31",R_0805_2012Metric,3,100k,Mouser,71-CRCW0805100KFKEAC,
"R18,R22",R_2512_6332Metric,2,680,Mouser,279-CRGP2512F680R,
"R19,R23",R_2512_6332Metric,2,510,Mouser,279-CRGP2512F510R,
R20,R_2512_6332Metric,1,33,Mouser,279-CRGP2512F33R,
R21,R_2512_6332Metric,1,39,Mouser,279-CRGP2512F39R,
R24,R_2512_6332Metric,1,27,Mouser,279-CRGP2512F27R,
R26,R_2512_6332Metric,1,51,Mouser,279-352151RFT,
R32,R_0805_2012Metric,1,47k,Mouser,71-CRCW080547K0JNEAC,
U1,MSOP-8_3x3mm_P0.65mm,1,MCP6282E/MS,Mouser,579-MCP6282E/MS,Microchip dual op-amp MSOP-8; was Farnell 1852089
U3,SSOP-20_5.3x7.2mm_P0.65mm,1,MCP23008,Mouser,579-MCP23008T-E/SS,Microchip I2C GPIO expander SSOP-20; was Farnell 1605564
"C61,C84,C85",C_0805_2012Metric,3,1u,Mouser,603-CC0805KFX7R9BB10,
"R33,R16",R_0805_2012Metric,2,10k,Mouser,71-CRCW080510K0JNEAC,
U5,TO-220-3_Vertical,1,LM35DT/NOPB,Mouser,926-LM35DT/NOPB,Updated designation: LM35DT/NOPB (RoHS); was LM35-NEB
J9,PinSocket_1x03_P2.54mm_Vertical,1,HL2_12V,,,Standard 2.54mm 3-pin female header - any compatible
D6,D_SOD-123,1,1N4148W,Mouser,771-1N4148W-F,Nexperia 1N4148W SOD-123; was Farnell 1776392
R17,R_0805_2012Metric,1,1k,Mouser,71-CRCW08051K00FKEAC,
"R37,R38,R36",R_0805_2012Metric,3,TBD,,,PureSignal attenuator - values TBD per installation
